set,sample,nutrient,inoculation,time,invasion,replicate,expt_notes,no_analysis,freezer_bag_ID,extraction_date,tube_label,extraction_mass.mg,shoot_mass.g,extraction_notes,planned_qPCR_group
3P,P PAV T1 I 1,P,PAV,1,I,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P PP1I1,48.6,0.2764,NA,1
3P,L PAV T1 S 1,L,PAV,1,S,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P LP1S1,49,0.2403,NA,1
3P,L PAV T1 S 2,L,PAV,1,S,2,NA,NA,Ex 2 S3P T1,4/12/16,S3P LP1S2,49.2,0.2423,NA,1
3P,L PAV T1 I 1,L,PAV,1,I,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P LP1I1,49.3,0.2452,NA,1
3P,N PAV T1 I 1,N,PAV,1,I,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P NP1I1,50.3,0.3262,NA,1
3P,N PAV T1 S 1,N,PAV,1,S,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P NP1S1,50.9,0.3628,NA,1
3P,P PAV T1 S 1,P,PAV,1,S,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P PP1S1,51.5,0.261,NA,1
3P,NP PAV T1 I 1,NP,PAV,1,I,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P NPP1I1,51.6,0.19,NA,1
3P,NP PAV T1 S 1,NP,PAV,1,S,1,NA,NA,Ex 2 S3P T1,4/12/16,S3P NPP1S1,52,0.2521,NA,1
3P,P PAV T2 S 2,P,PAV,2,S,2,NA,NA,Ex 2 S3P T2,4/12/16,S3P PP2S2,48.2,0.325,NA,2
3P,P PAV T2 S 1,P,PAV,2,S,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P PP2S1,48.5,0.2266,NA,2
3P,L PAV T2 I 1,L,PAV,2,I,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P LP2I1,49.1,0.1315,NA,2
3P,NP PAV T2 S 1,NP,PAV,2,S,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P NPP2S1,49.2,0.41,NA,2
3P,L PAV T2 S 1,L,PAV,2,S,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P LP2S1,49.5,0.246,NA,2
3P,NP PAV T2 I 1,NP,PAV,2,I,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P NPP2I1,49.7,0.4181,NA,2
3P,N PAV T2 I 1,N,PAV,2,I,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P NP2I1,50.1,0.15310000000000001,NA,2
3P,P PAV T2 I 1,P,PAV,2,I,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P PP2I1,50.1,0.2246,NA,2
3P,N PAV T2 S 1,N,PAV,2,S,1,NA,NA,Ex 2 S3P T2,4/12/16,S3P NP2S1,51,0.3037,NA,2
3P,N PAV T3 S 1,N,PAV,3,S,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P NP3S1,48.2,0.2924,NA,2
3P,N PAV T3 I 2,N,PAV,3,I,2,NA,NA,Ex 2 S3P T3,4/14/16,S3P NP3I2,49.3,0.298,NA,2
3P,P PAV T3 I 2,P,PAV,3,I,2,NA,NA,Ex 2 S3P T3,4/14/16,S3P PP3I2,49.5,0.2588,NA,2
3P,L PAV T3 S 1,L,PAV,3,S,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P LP3S1,49.9,0.2592,NA,2
3P,N PAV T3 I 1,N,PAV,3,I,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P NP3I1,50.1,0.3686,NA,2
3P,P PAV T3 I 1,P,PAV,3,I,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P PP3I1,50.8,0.2572,NA,2
3P,P PAV T3 S 1,P,PAV,3,S,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P PP3S1,51,0.1961,NA,2
3P,L PAV T3 I 1,L,PAV,3,I,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P LP3I1,51.9,0.2514,NA,2
3P,NP PAV T3 I 1,NP,PAV,3,I,1,NA,NA,Ex 2 S3P T3,4/14/16,S3P NPP3I1,52.5,0.3575,NA,2
3P,L PAV T4 S 1,L,PAV,4,S,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P LP4S1,48.5,0.2502,NA,2
3P,NP PAV T4 S 3,NP,PAV,4,S,3,NA,NA,Ex 2 S3P T4,4/14/16,S3P NPP4S3,49,0.3823,NA,2
3P,L PAV T4 I 1,L,PAV,4,I,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P LP4I1,49.3,0.2491,small pellet,2
3P,P PAV T4 I 1,P,PAV,4,I,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P PP4I1,49.3,0.2513,NA,3
3P,N PAV T4 I 1,N,PAV,4,I,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P NP4I1,49.7,0.3877,NA,3
3P,N PAV T4 S 1,N,PAV,4,S,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P NP4S1,50.9,0.4193,NA,3
3P,NP PAV T4 S 1,NP,PAV,4,S,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P NPP4S1,51.1,0.3654,NA,3
3P,NP PAV T4 I 1,NP,PAV,4,I,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P NPP4I1,52.5,0.4114,NA,3
3P,NP PAV T4 S 2,NP,PAV,4,S,2,NA,NA,Ex 2 S3P T4,4/14/16,S3P NPP4S2,53.1,0.3714,NA,3
3P,P PAV T4 S 1,P,PAV,4,S,1,NA,NA,Ex 2 S3P T4,4/14/16,S3P PP4S1,54,0.3004,NA,3
3P,NP PAV T5 I 1,NP,PAV,5,I,1,NA,NA,Ex 2 S3P T5,4/14/16,S3P NPP5I1,47.9,0.3346,NA,3
3P,N PAV T5 I 1,N,PAV,5,I,1,NA,NA,Ex 2 S3P T5,4/14/16,S3P NP5I1,48.7,0.3291,NA,3
3P,P PAV T5 S 1,P,PAV,5,S,1,NA,NA,Ex 2 S3P T5,4/14/16,S3P PP5S1,48.9,0.2402,NA,3
3P,L PAV T5 S 1,L,PAV,5,S,1,NA,NA,Ex 2 S3P T5,4/14/16,S3P LP5S1,49,0.2248,NA,3
3P,N PAV T5 S 1,N,PAV,5,S,1,NA,NA,Ex 2 S3P T5,4/14/16,S3P NP5S1,49.6,0.4139,NA,3
3P,L PAV T5 I 1,L,PAV,5,I,1,NA,NA,Ex 2 S3P T5,4/14/16,S3P LP5I1,49.9,0.1616,NA,3
3P,NP PAV T5 S 1,NP,PAV,5,S,1,NA,NA,Ex 2 S3P T5,4/14/16,S3P NPP5S1,52.1,0.3237,NA,3
3P,P PAV T5 I 1,P,PAV,5,I,1,NA,NA,Ex 2 S3P T5,4/14/16,S3P PP5I1,52.9,0.2319,NA,3
3R,N RPV T1 I 1,N,RPV,1,I,1,NA,NA,Ex 2 S3R T1,4/15/16,S3R NR1I1,48.7,0.1749,NA,3
3R,NP RPV T1 S 1,NP,RPV,1,S,1,NA,NA,Ex 2 S3R T1,4/15/16,S3R NPR1S1,48.7,0.364,NA,3
3R,N RPV T1 S 1,N,RPV,1,S,1,NA,NA,Ex 2 S3R T1,4/15/16,S3R NR1S1,50.3,0.2545,NA,3
3R,L RPV T1 S 1,L,RPV,1,S,1,NA,NA,Ex 2 S3R T1,4/15/16,S3R LR1S1,50.4,0.215,NA,3
3R,P RPV T1 S 1,P,RPV,1,S,1,NA,NA,Ex 2 S3R T1,4/15/16,S3R PR1S1,50.6,0.173,NA,3
3R,P RPV T1 I 1,P,RPV,1,I,1,NA,NA,Ex 2 S3R T1,4/15/16,S3R PR1I1,51.5,0.2016,NA,3
3R,L RPV T1 I 1,L,RPV,1,I,1,NA,NA,Ex 2 S3R T1,4/15/16,S3R LR1I1,52,0.2136,NA,4
3R,NP RPV T1 I 1,NP,RPV,1,I,1,NA,NA,Ex 2 S3R T1,4/15/16,S3R NPR1I1,52.2,0.2954,NA,4
3R,L RPV T2 S 1,L,RPV,2,S,1,NA,NA,Ex 2 S3R T2,4/15/16,S3R LR2S1,48.1,0.2278,NA,4
3R,NP RPV T2 S 1,NP,RPV,2,S,1,NA,NA,Ex 2 S3R T2,4/15/16,S3R NPR2S1,48.4,0.237,NA,4
3R,P RPV T2 I 1,P,RPV,2,I,1,NA,NA,Ex 2 S3R T2,4/15/16,S3R PR2I1,48.9,0.1552,NA,4
3R,NP RPV T2 I 1,NP,RPV,2,I,1,NA,NA,Ex 2 S3R T2,4/15/16,S3R NPR2I1,49.7,0.2243,NA,4
3R,L PAV T2 I 1,L,PAV,2,I,1,NA,NA,Ex 2 S3R T2,4/15/16,S3R LP2I1,51.1,0.2657,NA,4
3R,N RPV T2 S 1,N,RPV,2,S,1,NA,NA,Ex 2 S3R T2,4/15/16,S3R NR2S1,51.5,0.2023,NA,4
3R,P RPV T2 S 1,P,RPV,2,S,1,NA,NA,Ex 2 S3R T2,4/15/16,S3R PR2S1,52.5,0.2628,NA,4
3R,L RPV T2 I 1,L,RPV,2,I,1,NA,NA,Ex 2 S3R T2,4/15/16,S3R LR2I1,52.6,0.2029,NA,4
3R,N RPV T2 I 1,N,RPV,2,I,1,NA,NA,Ex 2 S3R T2,4/15/16,S3R NR2I1,53.4,0.3911,NA,4
3R,L RPV T3 S 1,L,RPV,3,S,1,NA,NA,Ex 2 S3R T3,4/15/16,S3R LR3S1,48.2,0.2476,NA,4
3R,N RPV T3 S 1,N,RPV,3,S,1,NA,NA,Ex 2 S3R T3,4/15/16,S3R NR3S1,48.5,0.344,NA,4
3R,NP RPV T3 S 1,NP,RPV,3,S,1,NA,NA,Ex 2 S3R T3,4/15/16,S3R NPR3S1,48.7,0.284,NA,4
3R,P RPV T3 S 2,P,RPV,3,S,2,NA,NA,Ex 2 S3R T3,4/15/16,S3R PR3S2,49.1,0.2793,NA,4
3R,NP PAV T3 S 1,NP,PAV,3,S,1,NA,NA,Ex 2 S3R T3,4/15/16,S3R NPP3S1,49.4,0.3553,NA,4
3R,P RPV T3 I 1,P,RPV,3,I,1,NA,NA,Ex 2 S3R T3,4/15/16,S3R PR3I1,49.5,0.2913,NA,4
3R,L RPV T3 I 1,L,RPV,3,I,1,NA,NA,Ex 2 S3R T3,4/15/16,S3R LR3I1,49.7,0.189,NA,4
3R,P RPV T3 S 1,P,RPV,3,S,1,NA,NA,Ex 2 S3R T3,4/15/16,S3R PR3S1,49.8,0.1834,NA,4
3R,NP RPV T3 I 1,NP,RPV,3,I,1,NA,NA,Ex 2 S3R T3,4/15/16,S3R NPR3I1,50.2,0.3258,NA,4
3R,N RPV T3 I 1,N,RPV,3,I,1,NA,NA,Ex 2 S3R T3,4/15/16,S3R NR3I1,51.3,0.4283,NA,4
1,NP PAV T1 S 1,NP,PAV,1,S,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 NPP1S1,47.3,0.2358,NA,5
1,L PAV T1 S 2,L,PAV,1,S,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 LP1S2,47.6,0.2891,NA,5
1,N PAV T1 S 1,N,PAV,1,S,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 NP1S1,47.8,0.3288,NA,5
1,P PAV T1 S 2,P,PAV,1,S,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 PP1S2,48,0.2351,NA,5
1,P PAV T1 S 1,P,PAV,1,S,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 PP1S1,48.1,0.1741,NA,5
1,N RPV T1 I 1,N,RPV,1,I,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 NR1I1,48.3,0.3368,NA,5
1,L PAV T1 I 1,L,PAV,1,I,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 LP1I1,48.5,0.2765,NA,5
1,NP RPV T1 I 2,NP,RPV,1,I,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 NPR1I2,48.5,0.3152,NA,5
1,NP PAV T1 I 1,NP,PAV,1,I,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 NPP1I1,48.7,0.3769,NA,5
1,NP PAV T1 I 2,NP,PAV,1,I,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 NPP1I2,48.7,0.397,NA,5
1,L PAV T1 I 2,L,PAV,1,I,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 LP1I2,48.8,0.2265,NA,5
1,N PAV T1 I 1,N,PAV,1,I,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 NP1I1,48.9,0.2512,NA,5
1,NP RPV T1 S 1,NP,RPV,1,S,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 NPR1S1,49,0.2965,NA,5
1,P RPV T1 S 2,P,RPV,1,S,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 PR1S2,49,0.1797,NA,5
1,L RPV T1 I 1,L,RPV,1,I,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 LR1I1,49.5,0.1988,NA,5
1,L RPV T1 S 1,L,RPV,1,S,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 LR1S1,49.8,0.3174,NA,5
1,NP RPV T1 S 2,NP,RPV,1,S,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 NPR1S2,49.9,0.3,NA,5
1,P PAV T1 I 2,P,PAV,1,I,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 PP1I2,49.9,0.2916,NA,5
1,N RPV T1 S 1,N,RPV,1,S,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 NR1S1,50,0.3399,NA,5
1,P RPV T1 S 1,P,RPV,1,S,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 PR1S1,50,0.2224,ExtMass estimated since I forgot to record it,5
1,N PAV T1 S 2,N,PAV,1,S,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 NP1S2,50.3,0.2421,NA,5
1,N RPV T1 S 2,N,RPV,1,S,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 NR1S2,50.8,0.2946,NA,6
1,L RPV T1 I 2,L,RPV,1,I,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 LR1I2,50.9,0.2911,can't see pellet,6
1,NP PAV T1 S 2,NP,PAV,1,S,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 NPP1S2,52.2,0.1829,NA,6
1,N PAV T1 I 2,N,PAV,1,I,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 NP1I2,52.4,0.2972,can't see pellet,6
1,L RPV T1 S 2,L,RPV,1,S,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 LR1S2,53.2,0.2005,NA,6
1,N RPV T1 I 2,N,RPV,1,I,2,NA,NA,Ex 2 S1 T1,4/18/16,S1 NR1I2,53.4,0.3193,NA,6
1,NP RPV T1 I 1,NP,RPV,1,I,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 NPR1I1,54.4,0.3973,NA,6
1,P RPV T1 I 1,P,RPV,1,I,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 PR1I1,54.4,0.2177,NA,6
1,P PAV T1 I 1,P,PAV,1,I,1,NA,NA,Ex 2 S1 T1,4/18/16,S1 PP1I1,54.7,0.2901,NA,6
1,NP RPV T2 I 2,NP,RPV,2,I,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 NPR2I2,46.2,0.2676,NA,6
1,NP PAV T2 S 1,NP,PAV,2,S,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 NPP2S1,48.2,0.3638,NA,6
1,L PAV T2 I 2,L,PAV,2,I,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 LP2I2,48.9,0.2599,NA,6
1,NP PAV T2 S 2,NP,PAV,2,S,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 NPP2S2,49,0.2069,NA,6
1,P RPV T2 S 2,P,RPV,2,S,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 PR2S2,49,0.1838,NA,6
1,P PAV T2 I 2,P,PAV,2,I,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 PP2I2,49.4,0.2623,NA,6
1,NP RPV T2 S 1,NP,RPV,2,S,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 NPR2S1,49.7,0.2836,NA,6
1,N RPV T2 I 1,N,RPV,2,I,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 NR2I1,49.8,0.3132,stringy pellet,6
1,P RPV T2 I 1,P,RPV,2,I,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 PR2I1,49.8,0.1682,NA,6
1,N PAV T2 I 1,N,PAV,2,I,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 NP2I1,49.9,0.2323,NA,6
1,P PAV T2 I 1,P,PAV,2,I,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 PP2I1,50,0.2802,NA,6
1,NP RPV T2 S 2,NP,RPV,2,S,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 NPR2S2,50.1,0.1779,NA,6
1,L PAV T2 I 1,L,PAV,2,I,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 LP2I1,50.4,0.2379,NA,7
1,L PAV T2 S 2,L,PAV,2,S,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 LP2S2,50.5,0.3566,NA,7
1,L RPV T2 S 2,L,RPV,2,S,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 LR2S2,50.6,0.2654,NA,7
1,NP PAV T2 I 1,NP,PAV,2,I,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 NPP2I1,50.7,0.2552,NA,7
1,NP PAV T2 I 2,NP,PAV,2,I,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 NPP2I2,50.8,0.3629,NA,7
1,P RPV T2 I 2,P,RPV,2,I,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 PR2I2,51.3,0.245,NA,7
1,N PAV T2 S 2,N,PAV,2,S,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 NP2S2,51.6,0.2511,NA,7
1,NP RPV T2 I 1,NP,RPV,2,I,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 NPR2I1,51.6,0.4587,NA,7
1,P PAV T2 S 2,P,PAV,2,S,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 PP2S2,51.9,0.2401,NA,7
1,L PAV T2 S 1,L,PAV,2,S,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 LP2S1,52.4,0.3053,NA,7
1,N RPV T2 I 2,N,RPV,2,I,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 NR2I2,52.4,0.373,NA,7
1,L RPV T2 I 2,L,RPV,2,I,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 LR2I2,52.7,0.3451,NA,7
1,L RPV T2 I 1,L,RPV,2,I,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 LR2I1,53.3,0.34,NA,7
1,N PAV T2 I 2,N,PAV,2,I,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 NP2I2,53.3,0.3267,NA,7
1,N RPV T2 S 2,N,RPV,2,S,2,NA,NA,Ex 2 S1 T2,4/19/16,S1 NR2S2,53.3,0.3421,NA,7
1,N PAV T2 S 1,N,PAV,2,S,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 NP2S1,53.6,0.2432,NA,7
1,N RPV T2 S 1,N,RPV,2,S,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 NR2S1,54.3,0.3747,NA,7
1,L RPV T2 S 1,L,RPV,2,S,1,NA,NA,Ex 2 S1 T2,4/19/16,S1 LR2S1,54.5,0.3055,NA,7
1,L RPV T4 I 1,L,RPV,4,I,1,NA,NA,Ex 2 S1 T4,4/21/16,S1 LR4I1,47.4,0.2713,NA,7
1,P PAV T4 S 1,P,PAV,4,S,1,NA,NA,Ex 2 S1 T4,4/21/16,S1 PP4S1,47.4,0.1485,NA,7
1,P RPV T4 S 2,P,RPV,4,S,2,NA,NA,Ex 2 S1 T4,4/21/16,S1 PR4S2,48,0.2163,NA,7
1,NP PAV T4 I 1,NP,PAV,4,I,1,NA,NA,Ex 2 S1 T4,4/21/16,S1 NPP4I1,48.3,0.3488,NA,8
1,P PAV T4 I 2,P,PAV,4,I,2,NA,NA,Ex 2 S1 T4,4/21/16,S1 PP4I2,48.4,0.2127,May be PP4S2. Both tubes were labelled PP4S2,8
1,N RPV T4 S 2,N,RPV,4,S,2,NA,NA,Ex 2 S1 T4,4/21/16,S1 NR4S2,48.6,0.255,NA,8
